Time(s),Voltage(V)
-200.0000000000,-0.0044218750
-199.9600000000,-0.0062656250
-199.9200000000,-0.0081875000
-199.8800000000,-0.0078125000
-199.8400000000,-0.0063750000
-199.8000000000,-0.0038125000
-199.7600000000,-0.0030000000
-199.7200000000,-0.0051406250
-199.6800000000,-0.0070312500
-199.6400000000,-0.0066718750
-199.6000000000,-0.0050468750
-199.5600000000,-0.0040781250
-199.5200000000,-0.0055937500
-199.4800000000,-0.0080000000
-199.4400000000,-0.0065468750
-199.4000000000,-0.0043750000
-199.3600000000,-0.0033125000
-199.3200000000,-0.0040000000
-199.2800000000,-0.0064062500
-199.2400000000,-0.0067343750
-199.2000000000,-0.0047656250
-199.1600000000,-0.0036406250
-199.1200000000,-0.0050625000
-199.0800000000,-0.0064218750
-199.0400000000,-0.0064531250
-199.0000000000,-0.0040468750
-198.9600000000,-0.0029687500
-198.9200000000,-0.0051875000
-198.8800000000,-0.0062812500
-198.8400000000,-0.0065312500
-198.8000000000,-0.0053281250
-198.7600000000,-0.0042812500
-198.7200000000,-0.0056093750
-198.6800000000,-0.0064375000
-198.6400000000,-0.0065312500
-198.6000000000,-0.0054843750
-198.5600000000,-0.0043906250
-198.5200000000,-0.0045937500
-198.4800000000,-0.0054375000
-198.4400000000,-0.0060000000
-198.4000000000,-0.0063750000
-198.3600000000,-0.0056875000
-198.3200000000,-0.0057343750
-198.2800000000,-0.0067187500
-198.2400000000,-0.0064531250
-198.2000000000,-0.0054843750
-198.1600000000,-0.0036406250
-198.1200000000,-0.0027968750
-198.0800000000,-0.0044218750
-198.0400000000,-0.0061406250
-198.0000000000,-0.0074218750
-197.9600000000,-0.0051562500
-197.9200000000,-0.0042031250
-197.8800000000,-0.0046718750
-197.8400000000,-0.0050312500
-197.8000000000,-0.0056562500
-197.7600000000,-0.0052656250
-197.7200000000,-0.0046093750
-197.6800000000,-0.0045781250
-197.6400000000,-0.0050156250
-197.6000000000,-0.0047031250
-197.5600000000,-0.0053750000
-197.5200000000,-0.0055781250
-197.4800000000,-0.0069843750
-197.4400000000,-0.0067812500
-197.4000000000,-0.0054218750
-197.3600000000,-0.0041562500
-197.3200000000,-0.0045468750
-197.2800000000,-0.0060312500
-197.2400000000,-0.0072031250
-197.2000000000,-0.0059062500
-197.1600000000,-0.0044531250
-197.1200000000,-0.0040000000
-197.0800000000,-0.0055937500
-197.0400000000,-0.0068281250
-197.0000000000,-0.0062500000
-196.9600000000,-0.0042031250
-196.9200000000,-0.0041250000
-196.8800000000,-0.0060156250
-196.8400000000,-0.0078593750
-196.8000000000,-0.0072812500
-196.7600000000,-0.0052812500
-196.7200000000,-0.0034531250
-196.6800000000,-0.0035937500
-196.6400000000,-0.0057656250
-196.6000000000,-0.0069531250
-196.5600000000,-0.0062187500
-196.5200000000,-0.0037187500
-196.4800000000,-0.0025312500
-196.4400000000,-0.0049218750
-196.4000000000,-0.0075468750
-196.3600000000,-0.0077812500
-196.3200000000,-0.0057968750
-196.2800000000,-0.0032343750
-196.2400000000,-0.0032500000
-196.2000000000,-0.0051093750
-196.1600000000,-0.0063281250
-196.1200000000,-0.0059687500
-196.0800000000,-0.0041718750
-196.0400000000,-0.0045000000
-196.0000000000,-0.0072812500
-195.9600000000,-0.0078125000
-195.9200000000,-0.0056406250
-195.8800000000,-0.0036406250
-195.8400000000,-0.0033750000
-195.8000000000,-0.0056875000
-195.7600000000,-0.0072031250
-195.7200000000,-0.0060312500
-195.6800000000,-0.0052187500
-195.6400000000,-0.0046562500
-195.6000000000,-0.0053281250
-195.5600000000,-0.0049218750
-195.5200000000,-0.0045156250
-195.4800000000,-0.0038125000
-195.4400000000,-0.0044843750
-195.4000000000,-0.0043750000
-195.3600000000,-0.0052812500
-195.3200000000,-0.0061875000
-195.2800000000,-0.0065625000
-195.2400000000,-0.0063281250
-195.2000000000,-0.0059062500
-195.1600000000,-0.0046718750
-195.1200000000,-0.0033281250
-195.0800000000,-0.0039218750
-195.0400000000,-0.0039531250
-195.0000000000,-0.0055937500
-194.9600000000,-0.0057968750
-194.9200000000,-0.0064531250
-194.8800000000,-0.0061562500
-194.8400000000,-0.0061562500
-194.8000000000,-0.0066562500
-194.7600000000,-0.0066562500
-194.7200000000,-0.0044062500
-194.6800000000,-0.0019687500
-194.6400000000,-0.0022500000
-194.6000000000,-0.0051562500
-194.5600000000,-0.0076093750
-194.5200000000,-0.0074062500
-194.4800000000,-0.0061718750
-194.4400000000,-0.0049687500
-194.4000000000,-0.0056093750
-194.3600000000,-0.0057812500
-194.3200000000,-0.0050937500
-194.2800000000,-0.0041250000
-194.2400000000,-0.0045156250
-194.2000000000,-0.0061250000
-194.1600000000,-0.0060781250
-194.1200000000,-0.0049218750
-194.0800000000,-0.0043125000
-194.0400000000,-0.0057656250
-194.0000000000,-0.0070312500
-193.9600000000,-0.0060312500
-193.9200000000,-0.0039843750
-193.8800000000,-0.0039062500
-193.8400000000,-0.0060937500
-193.8000000000,-0.0083125000
-193.7600000000,-0.0065781250
-193.7200000000,-0.0044375000
-193.6800000000,-0.0024375000
-193.6400000000,-0.0035468750
-193.6000000000,-0.0066093750
-193.5600000000,-0.0065468750
